id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDPCPO25N000007926,장소,공원,4851080,중리근린공원,,,50705,지역근린공원,3023010900103880017,대전광역시,대덕구,중리동,,388-17,3023010900,3023054600,302304304432.0,중리동로41번길,28,127.4278173,36.3632521,다바935184,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007927,장소,공원,4851606,어린이교통나라,,,50705,지역근린공원,4119210100100150000,경기도,부천시원미구,원미동,,15,4119210100,4119254000,411923012096.0,소사로,456,126.7970376,37.4977295,다사378445,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007928,장소,공원,4851629,송현근린공원,,,50705,지역근린공원,2814010300101630000,인천광역시,동구,송현동,,163,2814010300,2814057000,281403150010.0,솔빛로,51,126.6404333,37.4785471,다사240424,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007929,장소,공원,4851746,용운공원,,,50705,지역근린공원,3011010900103890006,대전광역시,동구,용운동,,389-6,3011010900,3011056000,301104292435.0,용운로192번길,61,127.4635739,36.3251713,다바967142,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007930,장소,공원,4851890,당대어린이공원,,,50705,지역근린공원,3014011700100360002,대전광역시,중구,산성동,,36-2,3014011700,3014074000,301404295327.0,문화로46번길,50,127.3914163,36.3085323,다바902123,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007931,장소,공원,4851912,수밋들공원,,,50705,지역근린공원,3017010400106350000,대전광역시,서구,정림동,,635,3017010400,3017053500,301703166048.0,정림동로,8-6,127.3661475,36.3041838,다바879118,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007932,장소,공원,4851979,평리공원,,,50705,지역근린공원,3014011400102660003,대전광역시,중구,태평동,,266-3,3014011400,3014068000,301404295535.0,유천로132번길,64,127.3992768,36.3247143,다바909141,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007933,장소,공원,4855237,변동공원,,,50705,지역근린공원,3017010300104130003,대전광역시,서구,도마동,,413-3,3017010300,3017052000,301703166017.0,도솔로,182,127.3746356,36.3262195,다바887143,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007934,장소,공원,4855295,복수공원,,,50705,지역근린공원,3017010100200020023,대전광역시,서구,복수동,,산2-23,3017010100,3017051000,,,,127.3798634,36.3083837,다바892123,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007935,장소,공원,4855417,새싹어린이공원,,,50706,어린이놀이터,1117010700100080003,서울특별시,용산구,동자동,,8-3,1117010700,1117053000,,,,126.9742954,37.5524172,다사535504,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007936,장소,공원,4891834,함지골체육공원,,,50705,지역근린공원,2620012100201490005,부산광역시,영도구,동삼동,,산149-5,2620012100,2620065000,262003128020.0,절영로,323,129.0534763,35.074194,마라416765,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007937,장소,공원,4892087,속리공원,,,50705,지역근린공원,3014011600107750000,대전광역시,중구,문화동,,775,3014011600,3014073000,301403165021.0,산성로,108-24,127.3989198,36.3088851,다바909123,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007938,장소,공원,4892451,다산어린이공원,,,50706,어린이놀이터,1114016200101230001,서울특별시,중구,신당동,,123-1,1114016200,1114065000,111404103067.0,다산로42다길,18,127.0187696,37.5639142,다사575517,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007939,장소,공원,4895319,뒷마루공원,,,50705,지역근린공원,2811014700127880005,인천광역시,중구,운서동,,2788-5,2811014700,2811062800,,,,126.4875909,37.4911585,다사105440,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007940,장소,공원,4895334,앞마루공원,,,50705,지역근린공원,2811014700127870004,인천광역시,중구,운서동,,2787-4,2811014700,2811062800,,,,126.4876596,37.4939242,다사105443,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007941,장소,공원,4895655,영마루공원,,,50705,지역근린공원,2811014700127090001,인천광역시,중구,운서동,,2709-1,2811014700,2811062800,281102149001.0,영종대로,77,126.4877379,37.4967643,다사105446,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
